날짜,스트레스,취업
2016-07-01,49.46863,78.4335
2016-08-01,47.56025,81.91109
2016-09-01,54.29837,81.13327
2016-10-01,60.82394,86.79057
2016-11-01,58.11965,85.70071
2016-12-01,46.78695,83.45769
2017-01-01,41.6497,86.54185
2017-02-01,40.84022,90.5802
2017-03-01,55.67765,97.07864
2017-04-01,57.30565,82.88337
2017-05-01,58.73468,72.09333
2017-06-01,58.10609,74.58508
2017-07-01,47.94464,70.12164
2017-08-01,45.92773,71.40143
2017-09-01,49.50029,74.29566
2017-10-01,49.1159,77.18536
2017-11-01,50.5404,81.21919
2017-12-01,44.94188,74.53534
2018-01-01,45.36245,94.00804
2018-02-01,40.03979,69.85935
2018-03-01,52.01917,85.90874
2018-04-01,55.74548,76.10455
2018-05-01,56.95292,73.46357
2018-06-01,50.9881,68.22683
2018-07-01,43.44051,67.77913
2018-08-01,43.21892,70.78641
2018-09-01,45.21774,66.48577
2018-10-01,50.7439,76.29448
2018-11-01,51.03785,72.90281
2018-12-01,42.9521,73.45905
2019-01-01,41.70397,79.33342
2019-02-01,35.14674,68.2404
2019-03-01,48.03057,78.61438
2019-04-01,52.98693,67.66155
2019-05-01,55.88115,69.13128
2019-06-01,49.78971,66.6938
2019-07-01,41.09799,62.99914
2019-08-01,39.07203,65.71247
2019-09-01,41.61353,66.16469
2019-10-01,48.35164,67.65703
2019-11-01,44.65246,70.31158
2019-12-01,39.05395,70.57839
2020-01-01,34.71713,67.73391
2020-02-01,36.61646,65.16076
2020-03-01,48.88527,77.13109
2020-04-01,52.75177,79.18419
2020-05-01,56.60471,82.03319
2020-06-01,54.2034,84.71035
2020-07-01,43.01994,76.82811
2020-08-01,39.02681,72.81689
2020-09-01,43.32745,81.65332
2020-10-01,44.30425,79.15253
2020-11-01,45.63831,77.8637
2020-12-01,41.36028,89.115
2021-01-01,36.50341,100.0
2021-02-01,33.64084,73.33695
2021-03-01,43.38172,80.73079
2021-04-01,43.30936,66.32749
2021-05-01,44.41278,64.0709
2021-06-01,43.43146,63.25238
2021-07-01,35.92909,58.8613
2021-08-01,34.18803,59.63008
2021-09-01,36.90137,54.64658
2021-10-01,38.04097,55.82236
2021-11-01,36.08284,55.25256
2021-12-01,32.60073,60.43956
2022-01-01,30.9275,61.76909
2022-02-01,28.89702,57.26495
2022-03-01,36.86519,63.06697
2022-04-01,36.53506,54.02252
2022-05-01,38.60624,50.95192
2022-06-01,35.84316,50.61276
2022-07-01,31.0089,47.13516
2022-08-01,30.03663,46.29403
2022-09-01,31.80029,45.59761
2022-10-01,34.43223,45.97295
2022-11-01,34.24682,48.50992
2022-12-01,29.05078,55.62791
2023-01-01,26.63139,57.12024
2023-02-01,27.78456,49.75353
2023-03-01,34.9749,56.0123
2023-04-01,35.96074,44.94188
2023-05-01,37.66562,46.99045
2023-06-01,35.50852,45.66544
2023-07-01,29.38995,41.62257
2023-08-01,28.71161,42.59937
2023-09-01,29.81051,40.21164
2023-10-01,31.0089,43.35006
2023-11-01,31.57418,43.50834
2023-12-01,26.60425,44.6796
2024-01-01,25.98019,47.66426
2024-02-01,23.20354,40.64577
2024-03-01,29.2181,46.20811
2024-04-01,29.26785,39.8589
2024-05-01,29.68389,37.69728
2024-06-01,26.39623,36.34061
2024-07-01,25.13001,35.65323
2024-08-01,24.5376,37.81033
2024-09-01,25.26115,35.25527
2024-10-01,25.87165,37.48473
2024-11-01,23.77786,37.53448
2024-12-01,20.61683,39.75037
2025-01-01,18.0075,40.79048
2025-02-01,19.40035,43.64853
2025-03-01,22.39858,45.36245
2025-04-01,21.05096,38.5972
2025-05-01,20.11034,33.68606
2025-06-01,18.59087,32.03093
