rank,title,place,booking_rate
1,위키드,블루스퀘어 신한카드홀,33.5%
2,브로드웨이 42번가,샤롯데씨어터,7.8%
3,팬텀,세종문화회관 대극장,7.3%
4,맘마미아!,LG아트센터 서울 LG SIGNATURE 홀,5%
5,멤피스,충무아트센터 대극장,3.8%
6,알라딘,부산 드림씨어터,3.4%
7,마하고니,링크아트센터 페이코홀,3.2%
8,등등곡,예스24스테이지 1관,2.1%
9,빨래,NOL 유니플렉스 2관,1.6%
10,"스웨그에이지 외쳐,조선!",홍익대 대학로 아트센터 대극장,1.6%
11,쇼맨_어느 독재자의 네 번째 대역배우,국립정동극장,1.6%
12,프리다,NOL 유니플렉스 1관(구 인터파크 유니플렉스),1.3%
13,차미,대학로 TOM(티오엠) 1관,1.3%
14,노트르담 드 파리,세종문화회관 대극장,1.2%
15,스트라빈스키,대학로 TOM(티오엠) 2관,1.2%
16,쉐도우,백암아트홀,1%
17,쿠자,신세계 센텀시티 내 빅탑,0.9%
18,마리 퀴리,광림아트센터 BBCH홀,0.9%
19,위대한개츠비(The Great Gatsby) - 서울 오리지널 프로덕션,GS아트센터,0.9%
20,"다시, 동물원",동덕여자대학교 공연예술센터 코튼홀,0.8%
21,르 마스크,et theatre 1 (이티 씨어터 원),0.8%
22,슬립노모어 서울,매키탄 호텔 (The McKithan Hotel),0.8%
23,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",코엑스 신한카드 아티움,0.8%
24,베어 더  (bare the musical),두산아트센터 연강홀,0.7%
25,난타(NANTA) - 명동공연,명동난타극장,0.6%
26,리틀잭,예스24아트원 2관,0.6%
27,쿠자,잠실종합운동장 내 빅탑,0.6%
28,머피,예그린씨어터,0.6%
29,위키드,블루스퀘어 신한카드홀,0.5%
30,브로드웨이 42번가,부산 드림씨어터,0.5%
31,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 고양,고양아람누리 아람극장,0.5%
32,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 전주,한국소리문화의전당 모악당,0.5%
33,더 크리처,대학로 자유극장,0.5%
34,맘마미아!,LG아트센터 서울 LG SIGNATURE 홀,0.5%
35,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 울산,울산문화예술회관 대공연장,0.5%
36,알라딘,부산 드림씨어터,0.4%
37,써니텐,JTN 아트홀 1관,0.4%
38,썸데이,무하아트센터,0.4%
39,관부연락선,링크아트센터드림 드림2관,0.4%
40,민들레피리,예스24스테이지 2관,0.4%
41,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 진주,경남문화예술회관 대공연장,0.4%
42,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 천안,천안예술의전당 대공연장,0.4%
43,개와 고양이의 시간,대학로 더굿씨어터,0.4%
44,웨이스티드,플러스씨어터,0.3%
45,번 더 위치,홍익대 대학로 아트센터 소극장,0.3%
46,점프 JUMP,명보아트홀 지하3층 점프 전용극장,0.3%
47,TOUCH FIVE,터치파이브 전용관,0.3%
48,플레임즈,SH아트홀,0.3%
49,"어서 오세요, 휴남동 서점입니다",루미나아트홀,0.3%
50,갈라 콘서트 ［Beyond the Stage］- 대전,대전예술의전당 아트홀,0.3%
